Timestamp,Fake_USD,Fake_BTC,Net_Worth
01:29:57,100000,0.0,100000.0
01:30:02,100000,0.0,100000.0
01:30:07,100000,0.0,100000.0
01:30:12,100000,0.0,100000.0
01:30:17,100000,0.0,100000.0
01:30:22,100000,0.0,100000.0
01:30:27,100000,0.0,100000.0
01:30:34,26619.56,1.0,100008.95
01:30:39,26619.56,1.0,100014.57
01:30:44,26619.56,1.0,100010.56
01:30:50,26619.56,1.0,100016.93
01:30:56,26619.56,1.0,100007.43
01:31:02,26619.56,1.0,100003.97
01:31:07,26619.56,1.0,100019.4
01:31:12,26619.56,1.0,100022.07
01:31:17,26619.56,1.0,100035.67
01:31:22,26619.56,1.0,100023.16
01:31:27,26619.56,1.0,100039.55
01:31:34,26619.56,1.0,100038.64
01:31:40,100029.8,0.0,100029.8
01:31:45,100029.8,0.0,100029.8
01:31:50,100029.8,0.0,100029.8
01:31:56,100029.8,0.0,100029.8
01:32:01,100029.8,0.0,100029.8
01:32:06,100029.8,0.0,100029.8
01:32:11,100029.8,0.0,100029.8
01:32:17,26642.43,1.0,100031.82
01:32:22,26642.43,1.0,100015.54
01:32:27,100000.66,0.0,100000.66
01:32:32,100000.66,0.0,100000.66
01:32:38,100000.66,0.0,100000.66
01:32:44,100000.66,0.0,100000.66
01:32:49,100000.66,0.0,100000.66
01:32:54,100000.66,0.0,100000.66
01:33:00,100000.66,0.0,100000.66
01:33:05,26638.32,1.0,100009.87
01:33:10,26638.32,1.0,100003.78
01:33:15,26638.32,1.0,99987.83
01:33:21,99970.08,0.0,99970.08
01:33:26,99970.08,0.0,99970.08
01:33:32,99970.08,0.0,99970.08
01:33:38,99970.08,0.0,99970.08
01:33:43,26632.47,1.0,100000.59
01:33:49,26632.47,1.0,99989.95
01:33:54,26632.47,1.0,99979.32
01:33:59,26632.47,1.0,99974.48
01:34:05,26632.47,1.0,99986.19
01:34:10,26632.47,1.0,99952.72
01:34:15,99961.32,0.0,99961.32
01:34:21,99961.32,0.0,99961.32
01:34:26,99961.32,0.0,99961.32
01:34:32,26611.39,1.0,99963.43
01:34:37,26611.39,1.0,99950.26
01:34:42,26611.39,1.0,99958.39
01:34:47,26611.39,1.0,99947.59
01:34:52,99939.23,0.0,99939.23
01:34:59,99939.23,0.0,99939.23
01:35:04,99939.23,0.0,99939.23
01:35:09,99939.23,0.0,99939.23
01:35:15,99939.23,0.0,99939.23
01:35:20,99939.23,0.0,99939.23
01:35:25,99939.23,0.0,99939.23
01:35:30,99939.23,0.0,99939.23
01:35:35,99939.23,0.0,99939.23
01:35:40,99939.23,0.0,99939.23
01:35:46,99939.23,0.0,99939.23
01:35:51,99939.23,0.0,99939.23
01:35:56,26655.02,1.0,99963.99
01:36:01,26655.02,1.0,99956.64
01:36:06,26655.02,1.0,99952.99
01:36:11,99936.44,0.0,99936.44
01:36:16,99936.44,0.0,99936.44
01:36:22,99936.44,0.0,99936.44
01:36:27,99936.44,0.0,99936.44
01:36:32,99936.44,0.0,99936.44
01:36:37,26636.14,1.0,99945.73
01:36:44,26636.14,1.0,99948.04
01:36:49,26636.14,1.0,99939.57
01:36:55,26636.14,1.0,99959.03
01:37:00,26636.14,1.0,99964.36
01:37:05,26636.14,1.0,99985.63
01:37:10,26636.14,1.0,99989.69
01:37:16,26636.14,1.0,99980.66
01:37:21,26636.14,1.0,99980.66
01:37:26,26636.14,1.0,99985.12
01:37:31,26636.14,1.0,100004.25
01:37:37,26636.14,1.0,100025.54
01:37:42,26636.14,1.0,100028.2
01:37:47,26636.14,1.0,100032.35
01:37:52,26636.14,1.0,100029.2
01:37:57,26636.14,1.0,100030.32
01:38:03,26636.14,1.0,100041.49
01:38:08,26636.14,1.0,100041.49
01:38:13,26636.14,1.0,100028.2
01:38:18,100025.87,0.0,100025.87
01:38:23,100025.87,0.0,100025.87
01:38:28,100025.87,0.0,100025.87
01:38:34,100025.87,0.0,100025.87
01:38:39,100025.87,0.0,100025.87
01:38:46,100025.87,0.0,100025.87
01:38:51,100025.87,0.0,100025.87
01:38:56,100025.87,0.0,100025.87
01:39:01,100025.87,0.0,100025.87
01:39:06,100025.87,0.0,100025.87
01:39:11,100025.87,0.0,100025.87
01:39:16,100025.87,0.0,100025.87
01:39:22,100025.87,0.0,100025.87
01:39:27,100025.87,0.0,100025.87
01:39:32,100025.87,0.0,100025.87
01:39:37,100025.87,0.0,100025.87
01:39:43,100025.87,0.0,100025.87
01:39:48,100025.87,0.0,100025.87
01:39:53,100025.87,0.0,100025.87
01:39:58,100025.87,0.0,100025.87
01:40:03,100025.87,0.0,100025.87
01:40:08,100025.87,0.0,100025.87
01:40:13,100025.87,0.0,100025.87
01:40:18,100025.87,0.0,100025.87
01:40:23,100025.87,0.0,100025.87
01:40:29,100025.87,0.0,100025.87
01:40:34,100025.87,0.0,100025.87
01:40:40,100025.87,0.0,100025.87
01:40:46,100025.87,0.0,100025.87
01:40:51,100025.87,0.0,100025.87
01:40:56,100025.87,0.0,100025.87
01:41:01,100025.87,0.0,100025.87
01:41:06,100025.87,0.0,100025.87
01:41:11,100025.87,0.0,100025.87
01:41:16,100025.87,0.0,100025.87
01:41:23,100025.87,0.0,100025.87
01:41:28,100025.87,0.0,100025.87
01:41:33,100025.87,0.0,100025.87
01:41:38,100025.87,0.0,100025.87
01:41:44,100025.87,0.0,100025.87
01:41:49,100025.87,0.0,100025.87
01:41:54,100025.87,0.0,100025.87
01:42:00,100025.87,0.0,100025.87
01:42:05,100025.87,0.0,100025.87
01:42:10,100025.87,0.0,100025.87
01:42:16,100025.87,0.0,100025.87
01:42:21,100025.87,0.0,100025.87
01:42:26,100025.87,0.0,100025.87
01:42:32,100025.87,0.0,100025.87
01:42:38,100025.87,0.0,100025.87
01:42:44,100025.87,0.0,100025.87
01:42:49,100025.87,0.0,100025.87
01:42:54,100025.87,0.0,100025.87
01:43:00,100025.87,0.0,100025.87
01:43:05,100025.87,0.0,100025.87
01:43:10,100025.87,0.0,100025.87
01:43:15,100025.87,0.0,100025.87
01:43:20,100025.87,0.0,100025.87
01:43:26,100025.87,0.0,100025.87
01:43:31,100025.87,0.0,100025.87
01:43:36,100025.87,0.0,100025.87
01:43:41,26777.26,1.0,100028.33
01:43:48,26777.26,1.0,100030.99
01:43:53,26777.26,1.0,100030.98
01:43:58,26777.26,1.0,100033.65
01:44:03,26777.26,1.0,100038.97
01:44:08,100016.18,0.0,100016.18
01:44:14,100016.18,0.0,100016.18
01:44:20,100016.18,0.0,100016.18
01:44:25,100016.18,0.0,100016.18
01:44:30,100016.18,0.0,100016.18
01:44:35,26794.5,1.0,100023.16
